ticker,company_name,yahoo_symbol,active
AADI,PT Adaro Andalan Indonesia Tbk,AADI.JK,1
AALI,PT Astra Agro Lestari Tbk,AALI.JK,1
ABBA,PT Mahaka Media Tbk,ABBA.JK,1
ABDA,PT Asuransi Bina Dana Arta Tbk,ABDA.JK,1
ABMM,PT ABM Investama Tbk,ABMM.JK,1
ACES,PT Aspirasi Hidup Indonesia Tbk,ACES.JK,1
ACRO,PT Samcro Hyosung Adilestari Tbk,ACRO.JK,1
ACST,PT Acset Indonusa Tbk,ACST.JK,1
ADCP,PT Adhi Commuter Properti Tbk,ADCP.JK,1
ADES,PT Akasha Wira International Tbk,ADES.JK,1
ADHI,PT Adhi Karya (Persero) Tbk,ADHI.JK,1
ADMF,PT Adira Dinamika Multi Finance Tbk,ADMF.JK,1
ADMG,PT. Polychem Indonesia Tbk,ADMG.JK,1
ADMR,PT Alamtri Minerals Indonesia Tbk,ADMR.JK,1
ADRO,PT Alamtri Resources Indonesia Tbk,ADRO.JK,1
AEGS,PT. Anugerah Spareparts Sejahtera Tbk,AEGS.JK,1
AGAR,PT Asia Sejahtera Mina Tbk,AGAR.JK,1
AGII,PT Samator Indo Gas Tbk,AGII.JK,1
AGRO,PT Bank Raya Indonesia Tbk,AGRO.JK,1
AGRS,PT Bank IBK Indonesia Tbk,AGRS.JK,1
AHAP,PT Asuransi Harta Aman Pratama Tbk,AHAP.JK,1
AIMS,PT Artha Mahiya Investama Tbk,AIMS.JK,1
AISA,PT FKS Food Sejahtera Tbk,AISA.JK,1
AKKU,PT Anugerah Kagum Karya Utama Tbk,AKKU.JK,1
AKPI,PT Argha Karya Prima Industry Tbk,AKPI.JK,1
AKRA,PT AKR Corporindo Tbk,AKRA.JK,1
AKSI,PT Mineral Sumberdaya Mandiri Tbk,AKSI.JK,1
ALDO,PT Alkindo Naratama Tbk,ALDO.JK,1
ALII,PT Ancara Logistics Indonesia Tbk,ALII.JK,1
ALKA,PT Alakasa Industrindo Tbk,ALKA.JK,1
ALMI,PT Alumindo Light Metal Industry Tbk,ALMI.JK,1
ALTO,PT Tri Banyan Tirta Tbk,ALTO.JK,1
